,Species,log_phyllid_area,costa_ratio,ambient_moisture,growthform,substrate_aspect,light,am_g,am_sa,am_l,gf_sa,gf_l,sa_l,am_gf_sa,gf_sa_l,sa_l_am,am_gf_sa_l,phyllid_area,phyllid_length,costa_length,phyllid_width
Atrichum_angustatum,Atrichum_angustatum,5.650181751,1,mesic,acr,hor,open,amesic,mesich,open_mesic,ah,ao,oh,amesich,aoh,ohmesic,aomesich,1888.486123,1888.486123,325.4151699,
Schistidium_apocarpum,Schistidium_apocarpum,5.360933934,1,mesic,acr,ver,filtered,amesic,mesicv,filtered_mesic,av,ao,fv,amesicv,afv,fvmesic,afmesicv,229579.9376,1144.344429,1144.344429,410.8689598
Leucobryum_glaucum,Leucobryum_glaucum,6.034163545,0,mesic,acr,hor,filtered,amesic,mesich,filtered_mesic,ah,ao,fh,amesich,afh,fhmesic,afmesich,1081841.273,3238.955807,0,662.1100797
Fissidens_bryoides,Fissidens_bryoides,5.6751521,1,moist,acr,hor,filtered,amoist,moisth,filtered_moist,ah,af,fh,amoisth,afh,fhmoist,afmoisth,473316.9964,1426.267226,1426.267226,501.701768
Fissidens_bushii,Fissidens_bushii,5.463082027,1,moist_mesic,acr,ver,open,amm,mmv,open_mm,av,ao,ov,ammv,aov,ovmm,aommv,290457.1211,936.8544048,936.8544048,278.2517143
Dicranella_heteromalla,Dicranella_heteromalla,5.60975481,1.000002452,moist_mesic,acr,hor,filtered,amm,mmh,filtered_mm,ah,af,fh,ammh,afh,fhmm,afmmh,407150.3483,1835.159438,1835.163938,285.8763598
Paraleucobryum_longifolium,Paraleucobryum_longifolium,5.801087202,1,moist_mesic,acr,hor,open,amm,mmh,open_mm,ah,ao,oh,ammh,aoh,ohmm,aommh,632538.8458,1707.130721,0,424.504083
Dicranum_scoparium,Dicranum_scoparium,5.58831383,0.89,moist_mesic,acr,hor,filtered,amm,mmh,filtered_mm,ah,af,fh,ammh,afh,fhmm,afmmh,387531.4152,4819.651904,3770.047997,169.9010044
Oncophorus_wahlenbergii,Oncophorus_wahlenbergii,5.893398832,0.849999999,moist,acr,hor,filtered,amoist,moisth,filtered_moist,ah,ao,fh,amoisth,afh,fhmoist,afmoisth,782345.9383,2825.018839,2401.266013,518.2168387
Ditrichum_pallidum,Ditrichum_pallidum,5.878286453,1,mesic,acr,hor,open,amesic,mesich,open_mesic,ah,ao,oh,amesich,aoh,ohmesic,aomesich,755590.4376,3098.292743,3098.292743,325.5289143
Barbula_orizabensis,Barbula_orizabensis,5.01779658,1.004484942,mesic,acr,ver,open,amesic,mesicv,open_mesic,av,ao,ov,amesicv,aov,ovmesic,aomesicv,104182.9333,463.633152,465.71252,155.07438
Barbula_unguiculata,Barbula_unguiculata,5.40553623,1.048950753,mesic,acr,ver,open,amesic,mesich,open_mesic,ah,ao,oh,amesich,aoh,ohmesic,aomesich,254411.2019,1290.745212,1353.92719,261.0592727
Bartramia_pomiformis,Bartramia_pomiformis,5.421908857,1.039749265,moist_mesic,acr,ver,filtered,amm,mmv,filtered_mm,av,af,fv,ammv,afv,fvmm,afmmv,247371.8036,1318.780975,1727.207443,130.8939756
